CET Number,Physics,Chemistry,Math,Total
263031218,22,35,17,74
263031219,25,23,20,68
263031220,19,16,17,52
263031221,16,17,17,50
263031222,24,10,12,46
263031223,20,21,22,63
263031224,31,24,23,78
263031225,18,21,17,56
263031226,18,29,18,65
263031227,31,24,22,77
263031228,16,23,18,57
263031229,14,19,18,51
263031230,20,18,17,55
263031231,27,25,21,73
263031232,19,16,20,55
263031233,35,44,20,99
263031234,14,11,15,40
263031235,32,21,12,65
263031236,28,33,15,76
263031238,36,-,18,-
263031239,19,20,27,66
263031240,21,16,15,52
263031555,21,-,-,-
264031001,18,16,17,51
264031002,38,38,19,95
264031003,19,25,14,58
264031004,33,21,22,76
264031005,21,22,17,60
264031006,12,23,12,47
264031007,17,15,13,45
264031008,25,23,21,69
264031009,23,32,25,80
264031010,52,57,29,138
264031011,17,19,26,62
264031013,38,37,28,103
264031014,14,15,18,47
264031015,21,20,17,58
264031016,29,29,24,82
264031017,41,39,32,112
264031018,20,-,18,-
264031020,25,37,19,81
264031021,-,17,20,-
264031022,23,22,33,78
264031023,15,19,21,55
264031024,19,16,11,46
264031025,31,33,17,81
264031026,26,21,14,61
264031027,28,18,24,70
264031028,45,45,28,118
264031029,29,24,31,84
264031030,41,43,21,105
264031031,34,41,18,93
264031032,13,17,16,46
264031033,27,33,28,88
264031034,13,23,20,56
264031035,15,14,17,46
264031036,25,27,25,77
264031037,31,27,27,85
264031038,35,22,28,85
264031039,22,19,13,54
264031040,17,24,18,59
264031041,24,-,24,-
264031042,20,18,9,47
264031043,24,-,19,-
264031044,40,39,18,97
264031045,23,14,9,46
264031046,19,26,17,62
264031047,26,20,23,69
264031048,21,17,26,64
264031049,21,21,19,61
264031051,21,23,19,63
264031052,22,14,13,49
264031053,30,26,19,75
264031054,15,20,16,51
264031055,23,33,-,-
264031056,22,17,10,49
264031057,19,17,26,62
264031058,46,35,25,106
264031059,18,16,12,46
264031060,23,19,12,54
264031062,14,17,8,39
264031063,19,21,13,53
264031064,23,32,18,73
264031065,21,24,17,62
264031066,23,22,20,65
264031067,23,27,20,70
264031068,27,27,21,75
264031069,44,37,21,102
264031070,22,21,11,54
264031071,30,44,22,96
264031072,35,36,27,98
264031073,27,23,24,74
264031074,19,19,18,56
264031075,24,30,26,80
264031076,12,19,20,51
264031077,16,17,16,49
264031078,24,26,27,77
264031079,19,16,15,50
264031080,22,16,-,-
264031081,28,32,29,89
264031082,23,27,19,69
264031083,22,21,16,59
264031084,24,30,16,70
264031085,23,27,25,75
264031086,15,23,10,48
264031087,14,22,21,57
264031088,11,17,12,40
264031089,43,40,27,110
264031090,22,21,-,-
264031091,22,16,20,58
264031092,23,17,21,61
264031093,9,16,15,40
264031094,15,14,13,42
264031095,20,20,15,55
264031096,19,21,15,55
264031097,12,22,12,46
264031098,21,23,17,61
264031099,23,28,18,69
264031100,-,11,12,-
264031101,23,23,18,64
264031102,17,19,18,54
264031103,13,18,17,48
264031104,18,17,22,57
264031105,17,28,13,58
264031106,26,20,16,62
264031107,34,46,24,104
264031108,-,-,21,-
264031109,39,42,27,108
264031110,15,21,13,49
264031111,21,21,16,58
264031112,9,-,18,-
264031113,31,26,28,85
264031114,55,55,-,-
264031115,36,36,44,116
264031116,34,34,-,-
264031117,19,22,16,57
264031118,18,31,17,66
264031119,17,22,-,-
264031120,19,21,18,58
264031121,11,22,16,49
264031122,42,37,39,118
264031124,18,22,12,52
264031125,15,27,10,52
264031126,18,14,16,48
264031127,18,17,20,55
264031128,20,25,23,68
264031129,19,14,12,45
264031130,21,13,16,50
264031131,14,15,-,-
264031132,20,18,19,57
264031133,18,26,14,58
264031135,14,21,15,50
264031137,12,20,15,47
264031138,15,20,20,55
264031139,18,16,15,49
264031140,45,50,20,115
264031141,27,31,37,95
264031142,19,19,12,50
264031143,38,32,30,100
264031144,10,19,13,42
264031145,22,27,23,72
264031146,26,25,17,68
264031148,35,38,21,94
264031149,33,38,24,95
264031150,13,20,17,50
264031151,20,24,16,60
264031152,23,18,15,56
264031153,25,26,23,74
264031154,17,16,-,-
264031155,17,17,13,47
264031156,20,18,21,59
264031157,16,17,17,50
264031158,14,20,12,46
264031159,50,54,34,138
264031160,26,21,23,70
264031161,27,17,20,64
264031162,21,20,14,55
264031163,22,20,14,56
264031164,20,13,15,48
264031165,-,20,12,-
264031166,31,27,31,89
264031168,15,24,18,57
264031169,20,20,18,58
264031170,-,14,17,-
264031171,13,16,16,45
264031172,24,29,22,75
264031173,18,15,14,47
264031174,18,14,17,49
264031175,-,18,18,-
264031176,33,26,18,77
264031177,24,23,17,64
264031178,27,16,25,68
264031179,25,29,24,78
264031180,20,16,17,53
264031181,14,21,22,57
264031182,15,11,14,40
264031183,20,16,12,48
264031184,27,33,17,77
264031185,22,32,-,-
264031186,18,22,8,48
264031187,21,21,16,58
264031188,20,22,13,55
264031189,15,17,15,47
264031190,24,26,24,74
264031191,16,15,15,46
264031192,19,21,20,60
264031193,-,20,18,-
264031195,26,19,18,63
264031196,-,16,10,-
264031197,37,42,28,107
264031199,18,17,15,50
264031200,19,19,13,51
264031201,23,21,21,65
264031202,20,24,12,56
264031203,21,23,19,63
264031204,18,22,16,56
264031205,14,22,15,51
264031206,25,16,13,54
264031207,22,24,15,61
264031208,17,23,18,58
264031209,17,20,16,53
264031210,22,22,15,59
264031211,17,16,15,48
264031212,18,16,19,53
264031213,17,18,16,51
264031214,22,22,22,66
264031215,25,21,18,64
264031216,21,16,18,55
264031217,17,19,15,51
264031218,23,18,12,53
264031219,16,12,13,41
264031220,13,24,18,55
264031221,15,19,18,52
